feature	param0_importance	param1_importance	Category8	Category6
GO:0061133	0	0	GO_terms	GO_terms
GO:0061630	0	0	GO_terms	GO_terms
GO:0061631	0	0	GO_terms	GO_terms
GO:0061668	0	0	GO_terms	GO_terms
GO:0061709	0	0	GO_terms	GO_terms
GO:0061982	0	0	GO_terms	GO_terms
GO:0070130	0	0	GO_terms	GO_terms
GO:0070180	0	0	GO_terms	GO_terms
GO:0070403	0	0	GO_terms	GO_terms
GO:0070475	0	0	GO_terms	GO_terms
GO:0070545	0	0	GO_terms	GO_terms
GO:0070588	0	0	GO_terms	GO_terms
GO:0070966	0	0	GO_terms	GO_terms
GO:0071014	0	0	GO_terms	GO_terms
GO:0071021	0	0	GO_terms	GO_terms
GO:0071465	0	0	GO_terms	GO_terms
GO:0071618	0	0	GO_terms	GO_terms
GO:0071913	0	0	GO_terms	GO_terms
GO:0071944	0	3.12135694288481e-05	GO_terms	GO_terms
GO:0071988	0	0	GO_terms	GO_terms
GO:0072488	0	0	GO_terms	GO_terms
GO:0072527	0	0	GO_terms	GO_terms
GO:0072657	0	0	GO_terms	GO_terms
GO:0072671	0	0	GO_terms	GO_terms
GO:0080090	0	0	GO_terms	GO_terms
GO:0090153	0	0	GO_terms	GO_terms
GO:0090334	0	0	GO_terms	GO_terms
GO:0097051	0	0	GO_terms	GO_terms
GO:0097466	0	0	GO_terms	GO_terms
GO:0097550	0	0	GO_terms	GO_terms
GO:0097718	0	0	GO_terms	GO_terms
GO:0097753	0	0	GO_terms	GO_terms
GO:0098734	0	0	GO_terms	GO_terms
GO:0106055	0	0	GO_terms	GO_terms
GO:0106310	0	0	GO_terms	GO_terms
GO:0110131	0	0	GO_terms	GO_terms
GO:0120114	0	0	GO_terms	GO_terms
GO:0120174	0	0	GO_terms	GO_terms
GO:0120542	0	0	GO_terms	GO_terms
GO:0140624	0	0	GO_terms	GO_terms
GO:0140662	0	0	GO_terms	GO_terms
GO:0141152	0	0	GO_terms	GO_terms
GO:0180047	0	0	GO_terms	GO_terms
GO:1900103	0	0	GO_terms	GO_terms
GO:1901607	0	0	GO_terms	GO_terms
GO:1902495	0	0	GO_terms	GO_terms
GO:1902600	0	0	GO_terms	GO_terms
GO:1902626	0	0	GO_terms	GO_terms
GO:1902975	0	0	GO_terms	GO_terms
GO:1903466	0	0	GO_terms	GO_terms
GO:1903778	0	0	GO_terms	GO_terms
GO:1904679	0	0	GO_terms	GO_terms
GO:1990131	0	0	GO_terms	GO_terms
GO:1990145	0	0	GO_terms	GO_terms
GO:1990174	0	0	GO_terms	GO_terms
GO:1990328	0	0	GO_terms	GO_terms
GO:1990362	0	0	GO_terms	GO_terms
GO:1990816	0	0	GO_terms	GO_terms
GO:1990825	0	0	GO_terms	GO_terms
GO:1990846	0	0	GO_terms	GO_terms
GO:1990856	0	0	GO_terms	GO_terms
GO:1990871	0	0	GO_terms	GO_terms
GO:1990904	0	0	GO_terms	GO_terms
GO:2000434	0	0	GO_terms	GO_terms
GO:2000813	0	0	GO_terms	GO_terms
GRAVY Score	0.00309312773133658	0.00037304156396697	gene_structure	gene_structure
His_percent	0.00076298039177091	0.00165047897344037	aa_composition	aa_composition
HYDROGEN	0.00683378080973543	0.00279051677183026	gene_structure	gene_structure
Hydrophilic_percent	0.00355370647445175	0.00115090538049828	aa_composition	aa_composition
Hydrophobic_percent	0.00632868382666521	0.00069040980460176	aa_composition	aa_composition
Ile_percent	0.00024035310584481	0.00245722693848716	aa_composition	aa_composition
INSTABILITY INDEX (II)	4.71317054865223e-05	0.00181821991542141	gene_structure	gene_structure
Leu_percent	0.00372738283791089	0.00212389898123517	aa_composition	aa_composition
Lys_percent	1.1331859624194e-05	0.00110925517065539	aa_composition	aa_composition
Met_percent	0.00092924687270768	0.0012797738758636	aa_composition	aa_composition
Mw	0.00849072676093854	0.00419424335878913	gene_structure	gene_structure
NITROGEN	0.062737598023474	0.173865996995824	gene_structure	gene_structure
Nonpolar_percent	0.00027267771755647	0.0008757820185908	aa_composition	aa_composition
OXYGEN	0.00079694322093322	0.00176153281441671	gene_structure	gene_structure
Phe_percent	3.62455542131388e-05	0.00166832493769867	aa_composition	aa_composition
PI	1.39397711506893e-05	0.0018587814759719	gene_structure	gene_structure
Polar_percent	0.00012282853986425	0.00177970663405752	aa_composition	aa_composition
Pro_percent	0.00204973659457085	0.00094855704284561	aa_composition	aa_composition
Protein Length	0	0.00015171250146563	gene_structure	gene_structure
RR	0	0.00196577932058816	gene_structure	gene_structure
Ser_percent	0.00395226554098704	0.00226857381087877	aa_composition	aa_composition
SULPHUR	0.198820292909166	0.426829832577754	gene_structure	gene_structure
Thr_percent	0.00021471845608039	0.00099749562956733	aa_composition	aa_composition
threeUTR_GC_content	0.00238832366154483	0.00249150786146111	gene_structure	gene_structure
Total_aas	0	0	aa_composition	aa_composition
Trp_percent	1.54169814534303e-07	0.00132260605621512	aa_composition	aa_composition
UTR3_length	4.5586672075377e-05	0.00190696463611122	gene_structure	gene_structure
UTR5_length	0	0.00331599332304324	gene_structure	gene_structure
Val_percent	0.0061988597093413	0.0127402310334888	aa_composition	aa_composition
